condition,seed,method,MAE,KL,n,m_sources
heavy_bias,137,dempster_shafer,0.16845761472619228,8.179222452100666,6840,5
heavy_bias,137,corr_cluster,0.1270986906537134,0.8592811250143298,6840,5
heavy_bias,137,sugeno,0.10791526325062052,0.6992820598884161,6840,5
heavy_bias,199,Choquet(ours),0.09352008059602425,0.9135124143944192,6846,5
heavy_bias,199,naive_mean,0.08906125274804094,0.9101395009447267,6846,5
heavy_bias,199,rel_wtd_mean,0.09336284497258111,0.9213121866180104,6846,5
heavy_bias,199,median,0.08869505660619516,2.0034984157346116,6846,5
heavy_bias,199,dempster_shafer,0.15844714459606912,3.301253596624497,6846,5
heavy_bias,199,corr_cluster,0.08267269687772122,0.9013369204452992,6846,5
heavy_bias,199,sugeno,0.10700744150205146,0.9160205986887962,6846,5
heavy_bias,313,Choquet(ours),0.11541370924353704,0.8501695455222065,6865,5
heavy_bias,313,naive_mean,0.1205633428326793,0.9039941366327594,6865,5
heavy_bias,313,rel_wtd_mean,0.11887714194201383,0.8839396443868397,6865,5
heavy_bias,313,median,0.13256863530965743,3.7578983944904554,6865,5
heavy_bias,313,dempster_shafer,0.16711108700441057,3.813453733180335,6865,5
heavy_bias,313,corr_cluster,0.12249375034582248,0.9220593412765541,6865,5
heavy_bias,313,sugeno,0.10845824792811719,0.782557578641525,6865,5
misspec_capacity,20260613,Choquet(ours),0.08738863140675697,0.8617814627181175,6854,5
misspec_capacity,20260613,naive_mean,0.09719487545748684,0.9238160334390253,6854,5
misspec_capacity,20260613,rel_wtd_mean,0.09260581112519482,0.8966255592763235,6854,5
misspec_capacity,20260613,median,0.12233601375611465,4.65707107708622,6854,5
misspec_capacity,20260613,dempster_shafer,0.17081558834334606,3.8712801499088254,6854,5
misspec_capacity,20260613,corr_cluster,0.10528972512188028,0.982326998818528,6854,5
misspec_capacity,20260613,sugeno,0.07748754948125695,0.7996567430452667,6854,5
misspec_capacity,7,Choquet(ours),0.1569154235266397,1.3414351339068125,6829,5
misspec_capacity,7,naive_mean,0.17025137566330173,1.4795692958070985,6829,5
misspec_capacity,7,rel_wtd_mean,0.16222093962231138,1.408910791314915,6829,5
misspec_capacity,7,median,0.19793520088181088,7.082515581498856,6829,5
misspec_capacity,7,dempster_shafer,0.16545914502306927,4.06302527636994,6829,5
misspec_capacity,7,corr_cluster,0.18625600020927244,1.6476412272250864,6829,5
misspec_capacity,7,sugeno,0.14360535861804025,1.194183250334851,6829,5
misspec_capacity,101,Choquet(ours),0.12564120297192227,1.1140492079896782,6843,5
misspec_capacity,101,naive_mean,0.13515812638826324,1.1993958582722377,6843,5
misspec_capacity,101,rel_wtd_mean,0.131442011309831,1.169988731259862,6843,5
misspec_capacity,101,median,0.16056303744176453,5.220076225379794,6843,5
misspec_capacity,101,dempster_shafer,0.1763149954556243,8.545840111634654,6843,5
misspec_capacity,101,corr_cluster,0.14517529238306606,1.287431305757739,6843,5
misspec_capacity,101,sugeno,0.11031259137574428,0.9975982040510423,6843,5
misspec_capacity,11,Choquet(ours),0.13982426615124816,1.1657993297394222,6830,5
misspec_capacity,11,naive_mean,0.13639616747543265,1.199195710450635,6830,5
misspec_capacity,11,rel_wtd_mean,0.1379702739718433,1.1891779898743768,6830,5
misspec_capacity,11,median,0.13744554517383248,4.033829902322699,6830,5
misspec_capacity,11,dempster_shafer,0.1679080295560161,8.413750447153781,6830,5
misspec_capacity,11,corr_cluster,0.1354624829147568,1.228073571241291,6830,5
misspec_capacity,11,sugeno,0.14817095953564352,1.1327357338358315,6830,5
misspec_capacity,23,Choquet(ours),0.13523301884579256,1.142053787416326,6861,5
misspec_capacity,23,naive_mean,0.14521396485565755,1.2395908500146204,6861,5
misspec_capacity,23,rel_wtd_mean,0.13922162949741437,1.1912549040169964,6861,5
misspec_capacity,23,median,0.16621378312829868,5.727326389638074,6861,5
misspec_capacity,23,dempster_shafer,0.16914802484109162,8.236239853536702,6861,5
misspec_capacity,23,corr_cluster,0.15707708453883734,1.3358215397636082,6861,5
misspec_capacity,23,sugeno,0.12337806375803043,1.0222637949703233,6861,5
misspec_capacity,47,Choquet(ours),0.13383794270721228,1.1133338893968785,6867,5
misspec_capacity,47,naive_mean,0.13465288817809618,1.164430978999784,6867,5
misspec_capacity,47,rel_wtd_mean,0.13537473461640567,1.1547868867093998,6867,5
misspec_capacity,47,median,0.1437447613995716,3.747317531209564,6867,5
misspec_capacity,47,dempster_shafer,0.1667765249805543,4.55166292416583,6867,5
misspec_capacity,47,corr_cluster,0.13697471357828087,1.2157036725525692,6867,5
misspec_capacity,47,sugeno,0.13466118947207864,1.0392664068445683,6867,5
misspec_capacity,89,Choquet(ours),0.07080104317401753,0.9065300902903937,6852,5
misspec_capacity,89,naive_mean,0.06658502504429763,0.8992794898434644,6852,5
misspec_capacity,89,rel_wtd_mean,0.0716211047502104,0.9114760393529279,6852,5
misspec_capacity,89,median,0.07646936486558334,2.4107086834882354,6852,5
misspec_capacity,89,dempster_shafer,0.1615737453122417,3.051800577363105,6852,5
misspec_capacity,89,corr_cluster,0.06014743226405451,0.8886658390218656,6852,5
misspec_capacity,89,sugeno,0.07697007845078385,0.910221612055208,6852,5
misspec_capacity,137,Choquet(ours),0.11633311319659968,0.7732732994699375,6840,5
misspec_capacity,137,naive_mean,0.12160104649789401,0.823690409532864,6840,5
misspec_capacity,137,rel_wtd_mean,0.11935760548217471,0.8087564302899524,6840,5
misspec_capacity,137,median,0.1346585869909904,3.220221283273272,6840,5
misspec_capacity,137,dempster_shafer,0.16844565234649048,8.179186684019532,6840,5
